pin,slack
Initial_blinking_SW1/cnt[25]:ADn,
Initial_blinking_SW1/cnt[25]:ALn,16174
Initial_blinking_SW1/cnt[25]:CLK,14455
Initial_blinking_SW1/cnt[25]:D,12116
Initial_blinking_SW1/cnt[25]:EN,
Initial_blinking_SW1/cnt[25]:LAT,
Initial_blinking_SW1/cnt[25]:Q,14455
Initial_blinking_SW1/cnt[25]:SD,
Initial_blinking_SW1/cnt[25]:SLn,
Fast_clk_SW2/un14_cntlto31_0_a2:A,14244
Fast_clk_SW2/un14_cntlto31_0_a2:B,12873
Fast_clk_SW2/un14_cntlto31_0_a2:C,14105
Fast_clk_SW2/un14_cntlto31_0_a2:Y,12873
Fast_clk_SW1/cnt[4]:ADn,
Fast_clk_SW1/cnt[4]:ALn,16174
Fast_clk_SW1/cnt[4]:CLK,16977
Fast_clk_SW1/cnt[4]:D,12433
Fast_clk_SW1/cnt[4]:EN,
Fast_clk_SW1/cnt[4]:LAT,
Fast_clk_SW1/cnt[4]:Q,16977
Fast_clk_SW1/cnt[4]:SD,
Fast_clk_SW1/cnt[4]:SLn,
Fast_clk_SW1/cnt_RNIT8KKR1[23]:A,
Fast_clk_SW1/cnt_RNIT8KKR1[23]:B,12472
Fast_clk_SW1/cnt_RNIT8KKR1[23]:C,17256
Fast_clk_SW1/cnt_RNIT8KKR1[23]:D,
Fast_clk_SW1/cnt_RNIT8KKR1[23]:FCI,12053
Fast_clk_SW1/cnt_RNIT8KKR1[23]:FCO,12053
Fast_clk_SW1/cnt_RNIT8KKR1[23]:S,12072
Fast_clk_SW1/cnt[21]:ADn,
Fast_clk_SW1/cnt[21]:ALn,16174
Fast_clk_SW1/cnt[21]:CLK,13165
Fast_clk_SW1/cnt[21]:D,12110
Fast_clk_SW1/cnt[21]:EN,
Fast_clk_SW1/cnt[21]:LAT,
Fast_clk_SW1/cnt[21]:Q,13165
Fast_clk_SW1/cnt[21]:SD,
Fast_clk_SW1/cnt[21]:SLn,
Fast_clk_SW2/cnt_RNIBIIQL2[25]:A,
Fast_clk_SW2/cnt_RNIBIIQL2[25]:B,12464
Fast_clk_SW2/cnt_RNIBIIQL2[25]:C,17256
Fast_clk_SW2/cnt_RNIBIIQL2[25]:D,
Fast_clk_SW2/cnt_RNIBIIQL2[25]:FCI,12026
Fast_clk_SW2/cnt_RNIBIIQL2[25]:FCO,12079
Fast_clk_SW2/cnt_RNIBIIQL2[25]:S,12026
Initial_blinking_SW2/tmp_clk_RNO_0:A,16456
Initial_blinking_SW2/tmp_clk_RNO_0:B,16400
Initial_blinking_SW2/tmp_clk_RNO_0:C,12788
Initial_blinking_SW2/tmp_clk_RNO_0:D,14972
Initial_blinking_SW2/tmp_clk_RNO_0:Y,12788
Fast_clk_SW2/cnt_RNI2HMJ61[11]:A,
Fast_clk_SW2/cnt_RNI2HMJ61[11]:B,12235
Fast_clk_SW2/cnt_RNI2HMJ61[11]:C,17075
Fast_clk_SW2/cnt_RNI2HMJ61[11]:D,
Fast_clk_SW2/cnt_RNI2HMJ61[11]:FCI,12026
Fast_clk_SW2/cnt_RNI2HMJ61[11]:FCO,12026
Fast_clk_SW2/cnt_RNI2HMJ61[11]:S,12292
Fast_clk_SW2/cnt[1]:ADn,
Fast_clk_SW2/cnt[1]:ALn,16174
Fast_clk_SW2/cnt[1]:CLK,16901
Fast_clk_SW2/cnt[1]:D,12464
Fast_clk_SW2/cnt[1]:EN,
Fast_clk_SW2/cnt[1]:LAT,
Fast_clk_SW2/cnt[1]:Q,16901
Fast_clk_SW2/cnt[1]:SD,
Fast_clk_SW2/cnt[1]:SLn,
Fast_clk_SW2/cnt[12]:ADn,
Fast_clk_SW2/cnt[12]:ALn,16174
Fast_clk_SW2/cnt[12]:CLK,12236
Fast_clk_SW2/cnt[12]:D,12273
Fast_clk_SW2/cnt[12]:EN,
Fast_clk_SW2/cnt[12]:LAT,
Fast_clk_SW2/cnt[12]:Q,12236
Fast_clk_SW2/cnt[12]:SD,
Fast_clk_SW2/cnt[12]:SLn,
Initial_blinking_SW1/cnt_RNI17TIH[6]:A,
