pin,slack
Initial_blinking_SW1/cnt[25]:ADn,
Initial_blinking_SW1/cnt[25]:ALn,16180
Initial_blinking_SW1/cnt[25]:CLK,13696
Initial_blinking_SW1/cnt[25]:D,11175
Initial_blinking_SW1/cnt[25]:EN,
Initial_blinking_SW1/cnt[25]:LAT,
Initial_blinking_SW1/cnt[25]:Q,13696
Initial_blinking_SW1/cnt[25]:SD,
Initial_blinking_SW1/cnt[25]:SLn,
Fast_clk_SW1/cnt_RNIQRLJ4[0]:A,
Fast_clk_SW1/cnt_RNIQRLJ4[0]:B,11372
Fast_clk_SW1/cnt_RNIQRLJ4[0]:C,15914
Fast_clk_SW1/cnt_RNIQRLJ4[0]:CC,13558
Fast_clk_SW1/cnt_RNIQRLJ4[0]:P,11372
Fast_clk_SW1/cnt_RNIQRLJ4[0]:S,12571
Fast_clk_SW1/cnt_RNIQRLJ4[0]:UB,15914
Initial_blinking_SW2/un14_cntlto31_0_o2_1:A,12404
Initial_blinking_SW2/un14_cntlto31_0_o2_1:B,13599
Initial_blinking_SW2/un14_cntlto31_0_o2_1:C,12415
Initial_blinking_SW2/un14_cntlto31_0_o2_1:Y,12404
Fast_clk_SW2/un14_cntlto31_0_a2:A,13794
Fast_clk_SW2/un14_cntlto31_0_a2:B,12556
Fast_clk_SW2/un14_cntlto31_0_a2:C,13697
Fast_clk_SW2/un14_cntlto31_0_a2:Y,12556
Fast_clk_SW1/cnt[4]:ADn,
Fast_clk_SW1/cnt[4]:ALn,16181
Fast_clk_SW1/cnt[4]:CLK,12968
Fast_clk_SW1/cnt[4]:D,12571
Fast_clk_SW1/cnt[4]:EN,
Fast_clk_SW1/cnt[4]:LAT,
Fast_clk_SW1/cnt[4]:Q,12968
Fast_clk_SW1/cnt[4]:SD,
Fast_clk_SW1/cnt[4]:SLn,
Fast_clk_SW2/un14_cntlto31_0_o3_RNIAU8S2_CC_1:CC[0],11757
Fast_clk_SW2/un14_cntlto31_0_o3_RNIAU8S2_CC_1:CC[10],11488
Fast_clk_SW2/un14_cntlto31_0_o3_RNIAU8S2_CC_1:CC[11],11417
Fast_clk_SW2/un14_cntlto31_0_o3_RNIAU8S2_CC_1:CC[1],11665
Fast_clk_SW2/un14_cntlto31_0_o3_RNIAU8S2_CC_1:CC[2],11596
Fast_clk_SW2/un14_cntlto31_0_o3_RNIAU8S2_CC_1:CC[3],11702
Fast_clk_SW2/un14_cntlto31_0_o3_RNIAU8S2_CC_1:CC[4],11619
