pin,slack
eSRAM_eNVM_RW_0/data_lm_0[9]:A,5550
eSRAM_eNVM_RW_0/data_lm_0[9]:B,7356
eSRAM_eNVM_RW_0/data_lm_0[9]:C,4662
eSRAM_eNVM_RW_0/data_lm_0[9]:D,4963
eSRAM_eNVM_RW_0/data_lm_0[9]:Y,4662
eSRAM_eNVM_RW_0/current_state_RNIP0FE3[4]:A,4821
eSRAM_eNVM_RW_0/current_state_RNIP0FE3[4]:B,3505
eSRAM_eNVM_RW_0/current_state_RNIP0FE3[4]:C,5847
eSRAM_eNVM_RW_0/current_state_RNIP0FE3[4]:D,5771
eSRAM_eNVM_RW_0/current_state_RNIP0FE3[4]:Y,3505
SPI_Master_0/PWDATA_buf_RNO[13]:A,7616
SPI_Master_0/PWDATA_buf_RNO[13]:B,7526
SPI_Master_0/PWDATA_buf_RNO[13]:C,4707
SPI_Master_0/PWDATA_buf_RNO[13]:D,6878
SPI_Master_0/PWDATA_buf_RNO[13]:Y,4707
SPI_Master_0/PWDATA_buf[3]:ADn,
SPI_Master_0/PWDATA_buf[3]:ALn,
SPI_Master_0/PWDATA_buf[3]:CLK,7526
SPI_Master_0/PWDATA_buf[3]:D,4707
SPI_Master_0/PWDATA_buf[3]:EN,2112
SPI_Master_0/PWDATA_buf[3]:LAT,
SPI_Master_0/PWDATA_buf[3]:Q,7526
SPI_Master_0/PWDATA_buf[3]:SD,
SPI_Master_0/PWDATA_buf[3]:SLn,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_19:A,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_19:B,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_19:C,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_19:IPA,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_19:IPB,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_117:A,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_117:B,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_117:C,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_117:IPA,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_117:IPB,
SPI_Master_0/clk_toggles[4]:ADn,
SPI_Master_0/clk_toggles[4]:ALn,
SPI_Master_0/clk_toggles[4]:CLK,3892
SPI_Master_0/clk_toggles[4]:D,1802
SPI_Master_0/clk_toggles[4]:EN,
SPI_Master_0/clk_toggles[4]:LAT,
SPI_Master_0/clk_toggles[4]:Q,3892
SPI_Master_0/clk_toggles[4]:SD,
SPI_Master_0/clk_toggles[4]:SLn,
SPI_Master_0/PRDATA_buf[0]:ADn,
SPI_Master_0/PRDATA_buf[0]:ALn,
SPI_Master_0/PRDATA_buf[0]:CLK,8617
SPI_Master_0/PRDATA_buf[0]:D,
SPI_Master_0/PRDATA_buf[0]:EN,3329
SPI_Master_0/PRDATA_buf[0]:LAT,
SPI_Master_0/PRDATA_buf[0]:Q,8617
SPI_Master_0/PRDATA_buf[0]:SD,
SPI_Master_0/PRDATA_buf[0]:SLn,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_228:A,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_228:B,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_228:C,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_228:IPA,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_228:IPB,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_228:IPC,
SPI_Master_0/PRDATA[29]:ADn,
SPI_Master_0/PRDATA[29]:ALn,5922
SPI_Master_0/PRDATA[29]:CLK,
SPI_Master_0/PRDATA[29]:D,8617
SPI_Master_0/PRDATA[29]:EN,3476
SPI_Master_0/PRDATA[29]:LAT,
SPI_Master_0/PRDATA[29]:Q,
SPI_Master_0/PRDATA[29]:SD,
SPI_Master_0/PRDATA[29]:SLn,
eSRAM_eNVM_RW_0/data_lm_0_1_0[0]:A,5321
eSRAM_eNVM_RW_0/data_lm_0_1_0[0]:B,6299
eSRAM_eNVM_RW_0/data_lm_0_1_0[0]:Y,5321
eSRAM_eNVM_access_0/CoreAHBLite_0/matrix4x16/slavestage_16/HWDATA[5]:A,7239
eSRAM_eNVM_access_0/CoreAHBLite_0/matrix4x16/slavestage_16/HWDATA[5]:B,7394
eSRAM_eNVM_access_0/CoreAHBLite_0/matrix4x16/slavestage_16/HWDATA[5]:Y,7239
PRDATA_obuf[25]/U0/U_IOOUTFF:A,
PRDATA_obuf[25]/U0/U_IOOUTFF:Y,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_239:A,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_239:B,
eSRAM_eNVM_access_0/eSRAM_eNVM_access_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_239:C,
