
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. eSRAM_eNVM_access_top, 489, 509, 102, 0, 0, 1, 0, 2, 48
.	. AHB_IF_0s_1s_2s_3s_4294967292s_4294967293s_4294967294s_0s_1_layer0, 137, 52, 0, 0, 0, 0, 0, 0, 0
.	. SPI_Master, 159, 131, 40, 0, 0, 0, 0, 0, 0
.	. eSRAM_eNVM_RW, 130, 183, 62, 0, 0, 0, 0, 0, 0
.	. eSRAM_eNVM_access, 63, 143, 0, 0, 0, 0, 0, 2, 0
.	.	. CoreAHBLite_Z5_layer0, 51, 108, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_85_65536_0_0_0_0s, 51, 108, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_85_65536_0s_0_1_0, 45, 31, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_ADDRDEC_Z2_layer0, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 6, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_layer0_1, 5, 44, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z6_layer0, 12, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. eSRAM_eNVM_access_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. eSRAM_eNVM_access_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. eSRAM_eNVM_access_HPMS, 0, 33, 0, 0, 0, 0, 0, 0, 0
.	. eSRAM_eNVM_access_top_TPSRAM_0_TPSRAM, 0, 0, 0, 0, 0, 1, 0, 0, 0
